Barack Obama (I)D 2012,Change in D%,Change in R%,Change in total votes 2016 to 2012,Clinton %,County,Donald J. Trump (Rep),Gary Johnson (L) 2012,Gary Johnson (Lib),Hillary Clinton (Dem),Johnson % 1,Johnson %,Mitt Romney 2012,Number of Records,Obama %,Romney %,State,Total 2012,Total 2016,Trump %,Trump - Clinton tableau,Vote % change 2016 to 2012
132509,0.062645568,-0.087004654,27435,51.00%,Gwinnett,146463,4132,12405,165063,1.40%,3.80%,159855,1,44.70%,53.90%,Georgia,296496,323931,45.20%,-0.057419636,0.092530759
2301,-0.00340976,-0.014573604,1506,15.40%,Habersham,13184,155,461,2483,1.10%,2.90%,12166,1,15.70%,83.20%,Georgia,14622,16128,81.70%,0.663504464,0.102995486
12999,0.018347062,-0.037364672,8809,23.00%,Hall,51681,844,2299,16153,1.40%,3.30%,47481,1,21.20%,77.40%,Georgia,61324,70133,73.70%,0.506580354,0.143646859
3308,-0.054718368,0.047330783,-516,75.40%,Hancock,841,11,36,2695,0.30%,1.00%,769,1,80.90%,18.80%,Georgia,4088,3572,23.50%,-0.519036954,-0.126223092
1789,-0.042237078,0.03211798,945,13.00%,Haralson,9579,137,264,1474,1.30%,2.30%,8446,1,17.20%,81.40%,Georgia,10372,11317,84.60%,0.716179199,0.091110683
4145,-0.018619916,0.004861573,905,24.90%,Harris,11931,145,379,4082,0.90%,2.30%,11197,1,26.80%,72.30%,Georgia,15487,16392,72.80%,0.478831137,0.058436108
2870,-0.045683604,0.037149976,574,25.60%,Hart,7285,116,209,2583,1.20%,2.10%,6517,1,30.20%,68.60%,Georgia,9503,10077,72.30%,0.466607125,0.060401978
948,-0.050740259,0.043260795,37,17.70%,Heard,3370,61,93,743,1.50%,2.20%,3160,1,22.70%,75.80%,Georgia,4169,4206,80.10%,0.624583928,0.00887503
43761,0.029953796,-0.04649314,6689,50.90%,Henry,45641,813,2494,49902,0.90%,2.50%,46774,1,47.90%,51.20%,Georgia,91348,98037,46.60%,-0.043463182,0.073225467
22702,-0.014288493,-0.004043884,1556,37.70%,Houston,35351,639,1748,22460,1.10%,2.90%,34662,1,39.10%,59.80%,Georgia,58003,59559,59.40%,0.21644084,0.026826199
